COUNTRY,LAT,LONG,INDICATOR,DATE,VALUE,COUNTRY_ISO,DATE_EXTRACT
Liechtenstein,47.14,9.55,Active cases,2022-03-15,14345,LIE,2022-03-16 16:01:52+0100
Lithuania,55.1694,23.8813,Active cases,2022-03-15,960064,LTU,2022-03-16 16:01:52+0100
Luxembourg,49.8153,6.1296,Active cases,2022-03-15,193839,LUX,2022-03-16 16:01:52+0100
Madagascar,-18.766947,46.869107,Active cases,2022-03-15,62493,MDG,2022-03-16 16:01:52+0100
Malawi,-13.2543,34.3015,Active cases,2022-03-15,82891,MWI,2022-03-16 16:01:52+0100
Malaysia,4.210484,101.975766,Active cases,2022-03-15,3838141,MYS,2022-03-16 16:01:52+0100
Maldives,3.2028,73.2207,Active cases,2022-03-15,174361,MDV,2022-03-16 16:01:52+0100
Mali,17.570692,-3.996166,Active cases,2022-03-15,29702,MLI,2022-03-16 16:01:52+0100
Malta,35.9375,14.3754,Active cases,2022-03-15,72578,MLT,2022-03-16 16:01:52+0100
Marshall Islands,7.1315,171.1845,Active cases,2022-03-15,7,MHL,2022-03-16 16:01:52+0100
Mauritania,21.0079,-10.9408,Active cases,2022-03-15,57679,MRT,2022-03-16 16:01:52+0100
Mauritius,-20.348404,57.552152,Active cases,2022-03-15,180428,MUS,2022-03-16 16:01:52+0100
Mexico,23.6345,-102.5528,Active cases,2022-03-15,5286730,MEX,2022-03-16 16:01:52+0100
Micronesia,7.4256,150.5508,Active cases,2022-03-15,1,FSM,2022-03-16 16:01:52+0100
Moldova,47.4116,28.3699,Active cases,2022-03-15,497221,MDA,2022-03-16 16:01:52+0100
Monaco,43.7333,7.4167,Active cases,2022-03-15,9849,MCO,2022-03-16 16:01:52+0100
Mongolia,46.8625,103.8467,Active cases,2022-03-15,913731,MNG,2022-03-16 16:01:52+0100
Montenegro,42.708678,19.37439,Active cases,2022-03-15,229024,MNE,2022-03-16 16:01:52+0100
Morocco,31.7917,-7.0926,Active cases,2022-03-15,1146190,MAR,2022-03-16 16:01:52+0100
Mozambique,-18.6657,35.5296,Active cases,2022-03-15,0,MOZ,2022-03-16 16:01:52+0100
Mozambique,-18.665695,35.529562,Active cases,2022-03-15,222990,MOZ,2022-03-16 16:01:52+0100
Namibia,-22.9576,18.4904,Active cases,2022-03-15,153444,NAM,2022-03-16 16:01:52+0100
Nepal,28.1667,84.25,Active cases,2022-03-15,966094,NPL,2022-03-16 16:01:52+0100
Netherlands,12.1696,-68.99,Active cases,2022-03-15,39194,NLD,2022-03-16 16:01:52+0100
Netherlands,12.1784,-68.2385,Active cases,2022-03-15,7708,NLD,2022-03-16 16:01:52+0100
Netherlands,12.5211,-69.9683,Active cases,2022-03-15,33584,NLD,2022-03-16 16:01:52+0100
Netherlands,18.0425,-63.0548,Active cases,2022-03-15,9544,NLD,2022-03-16 16:01:52+0100
Netherlands,52.1326,5.2913,Active cases,2022-03-15,7329346,NLD,2022-03-16 16:01:52+0100
New Zealand,-40.9006,174.886,Active cases,2022-03-15,399240,NZL,2022-03-16 16:01:52+0100
New Zealand,-21.2367,-159.7777,Active cases,2022-03-15,2,NZL,2022-03-16 16:01:52+0100
Nicaragua,12.865416,-85.207229,Active cases,2022-03-15,18064,NIC,2022-03-16 16:01:52+0100
Niger,17.607789,8.081666,Active cases,2022-03-15,8473,NER,2022-03-16 16:01:52+0100
Nigeria,9.082,8.6753,Active cases,2022-03-15,251859,NGA,2022-03-16 16:01:52+0100
North Macedonia,41.6086,21.7453,Active cases,2022-03-15,292740,MKD,2022-03-16 16:01:52+0100
Norway,60.472,8.4689,Active cases,2022-03-15,1361653,NOR,2022-03-16 16:01:52+0100
Oman,21.512583,55.923255,Active cases,2022-03-15,382579,OMN,2022-03-16 16:01:52+0100
Pakistan,30.3753,69.3451,Active cases,2022-03-15,1489803,PAK,2022-03-16 16:01:52+0100
Palau,7.515,134.5825,Active cases,2022-03-15,3916,PLW,2022-03-16 16:01:52+0100
Panama,8.538,-80.7821,Active cases,2022-03-15,751962,PAN,2022-03-16 16:01:52+0100
Papua New Guinea,-6.314993,143.95555,Active cases,2022-03-15,40894,PNG,2022-03-16 16:01:52+0100
Paraguay,-23.4425,-58.4438,Active cases,2022-03-15,627731,PRY,2022-03-16 16:01:52+0100
Peru,-9.19,-75.0152,Active cases,2022-03-15,3325869,PER,2022-03-16 16:01:52+0100
Philippines,12.879721,121.774017,Active cases,2022-03-15,3613668,PHL,2022-03-16 16:01:52+0100
Poland,51.9194,19.1451,Active cases,2022-03-15,5723050,POL,2022-03-16 16:01:52+0100
Portugal,39.3999,-8.2245,Active cases,2022-03-15,3391671,PRT,2022-03-16 16:01:52+0100
Qatar,25.3548,51.1839,Active cases,2022-03-15,358684,QAT,2022-03-16 16:01:52+0100
Romania,45.9432,24.9668,Active cases,2022-03-15,2734485,ROU,2022-03-16 16:01:52+0100
Russia,61.52401,105.318756,Active cases,2022-03-15,16806170,RUS,2022-03-16 16:01:52+0100
Rwanda,-1.9403,29.8739,Active cases,2022-03-15,128151,RWA,2022-03-16 16:01:52+0100
Saint Kitts and Nevis,17.357822,-62.782998,Active cases,2022-03-15,5499,KNA,2022-03-16 16:01:52+0100
Saint Lucia,13.9094,-60.9789,Active cases,2022-03-15,22491,LCA,2022-03-16 16:01:52+0100
Saint Vincent and the Grenadines,12.9843,-61.2872,Active cases,2022-03-15,8217,VCT,2022-03-16 16:01:52+0100
Samoa,-13.759,-172.1046,Active cases,2022-03-15,48,WSM,2022-03-16 16:01:52+0100
San Marino,43.9424,12.4578,Active cases,2022-03-15,14677,SMR,2022-03-16 16:01:52+0100
Sao Tome and Principe,0.1864,6.6131,Active cases,2022-03-15,5865,STP,2022-03-16 16:01:52+0100
Saudi Arabia,23.885942,45.079162,Active cases,2022-03-15,740023,SAU,2022-03-16 16:01:52+0100
Senegal,14.4974,-14.4524,Active cases,2022-03-15,83844,SEN,2022-03-16 16:01:52+0100
Serbia,44.0165,21.0059,Active cases,2022-03-15,1929523,SRB,2022-03-16 16:01:52+0100
Seychelles,-4.6796,55.492,Active cases,2022-03-15,39598,SYC,2022-03-16 16:01:52+0100
Sierra Leone,8.460555,-11.779889,Active cases,2022-03-15,7545,SLE,2022-03-16 16:01:52+0100
Singapore,1.2833,103.8333,Active cases,2022-03-15,963170,SGP,2022-03-16 16:01:52+0100
Slovakia,48.669,19.699,Active cases,2022-03-15,2276398,SVK,2022-03-16 16:01:52+0100
Slovenia,46.1512,14.9955,Active cases,2022-03-15,916592,SVN,2022-03-16 16:01:52+0100
Solomon Islands,-9.6457,160.1562,Active cases,2022-03-15,9287,SLB,2022-03-16 16:01:52+0100
Somalia,5.152149,46.199616,Active cases,2022-03-15,25049,SOM,2022-03-16 16:01:52+0100
South Africa,-30.5595,22.9375,Active cases,2022-03-15,3597096,ZAF,2022-03-16 16:01:52+0100
South Sudan,6.877,31.307,Active cases,2022-03-15,16929,SSD,2022-03-16 16:01:52+0100
Spain,40.463667,-3.74922,Active cases,2022-03-15,11158624,ESP,2022-03-16 16:01:52+0100
Sri Lanka,7.873054,80.771797,Active cases,2022-03-15,640399,LKA,2022-03-16 16:01:52+0100
Sudan,12.8628,30.2176,Active cases,2022-03-15,56841,SDN,2022-03-16 16:01:52+0100
Suriname,3.9193,-56.0278,Active cases,2022-03-15,77506,SUR,2022-03-16 16:01:52+0100
Sweden,60.128161,18.643501,Active cases,2022-03-15,2452380,SWE,2022-03-16 16:01:52+0100
Switzerland,46.8182,8.2275,Active cases,2022-03-15,3157643,CHE,2022-03-16 16:01:52+0100
Syria,34.802075,38.996815,Active cases,2022-03-15,52313,SYR,2022-03-16 16:01:52+0100
Syria,34.8021,38.9968,Active cases,2022-03-15,0,SYR,2022-03-16 16:01:52+0100
Taiwan*,23.7,121.0,Active cases,2022-03-15,20549,TWN,2022-03-16 16:01:52+0100
Tajikistan,38.861,71.2761,Active cases,2022-03-15,17661,TJK,2022-03-16 16:01:52+0100
Tanzania,-6.369028,34.888822,Active cases,2022-03-15,32926,TZA,2022-03-16 16:01:52+0100
Thailand,15.870032,100.992541,Active cases,2022-03-15,3226724,THA,2022-03-16 16:01:52+0100
Timor-Leste,-8.874217,125.727539,Active cases,2022-03-15,22660,TLS,2022-03-16 16:01:52+0100
Timor-Leste,-8.8742,125.7275,Active cases,2022-03-15,0,TLS,2022-03-16 16:01:52+0100
Togo,8.6195,0.8248,Active cases,2022-03-15,36588,TGO,2022-03-16 16:01:52+0100
Tonga,-21.179,-175.1982,Active cases,2022-03-15,2070,TON,2022-03-16 16:01:52+0100
Trinidad and Tobago,10.6918,-61.2225,Active cases,2022-03-15,129703,TTO,2022-03-16 16:01:52+0100
Tunisia,33.886917,9.537499,Active cases,2022-03-15,1001697,TUN,2022-03-16 16:01:52+0100
Turkey,38.9637,35.2433,Active cases,2022-03-15,14503948,TUR,2022-03-16 16:01:52+0100
US,40.0,-100.0,Active cases,2022-03-15,78620308,USA,2022-03-16 16:01:52+0100
Uganda,1.373333,32.290275,Active cases,2022-03-15,160003,UGA,2022-03-16 16:01:52+0100
Ukraine,48.3794,31.1656,Active cases,2022-03-15,4928059,UKR,2022-03-16 16:01:52+0100
United Arab Emirates,23.424076,53.847818,Active cases,2022-03-15,883681,ARE,2022-03-16 16:01:52+0100
United Kingdom,-51.7963,-59.5236,Active cases,2022-03-15,118,GBR,2022-03-16 16:01:52+0100
United Kingdom,-7.9467,-14.3559,Active cases,2022-03-15,4,GBR,2022-03-16 16:01:52+0100
United Kingdom,16.742498,-62.187366,Active cases,2022-03-15,169,GBR,2022-03-16 16:01:52+0100
United Kingdom,18.2206,-63.0686,Active cases,2022-03-15,2586,GBR,2022-03-16 16:01:52+0100
United Kingdom,18.4207,-64.64,Active cases,2022-03-15,6042,GBR,2022-03-16 16:01:52+0100
United Kingdom,19.3133,-81.2546,Active cases,2022-03-15,20051,GBR,2022-03-16 16:01:52+0100
United Kingdom,21.694,-71.7979,Active cases,2022-03-15,5838,GBR,2022-03-16 16:01:52+0100
